Layers	Neurons	ActFn	MCR	Loss	Iter
2	6	logi	0.5	0.000895	245
2	6	relu	0.5	0.040163	61
2	6	tanh	0.5	0.001353	861
2	7	iden	0.25	0.666295	8
2	7	logi	0.5	0.001111	133
2	7	relu	0.5	0.000183	49
2	7	tanh	0.5	0.002747	799
2	8	iden	0.25	0.666297	6
2	8	logi	0.5	0.00064	301
2	8	relu	0.49	0.022905	107
2	8	tanh	0.5	0.000463	72
2	9	iden	0.25	0.666298	6
2	9	logi	0.5	0.001344	398
2	9	relu	0.5	0.000213	49
2	9	tanh	0.5	0.000351	111
2	10	iden	0.25	0.666297	6
2	10	logi	0.5	0.001627	569
2	10	relu	0.5	0.000364	63
2	10	tanh	0.5	0.000538	67
3	1	iden	0.25	0.66629	14
3	1	logi	0.14	0.585228	57
3	1	relu	0	0.693149	4
3	1	tanh	0.15	0.575982	34
3	2	iden	0.25	0.666293	10
3	2	logi	0.24	0.557091	236
3	2	relu	0	0.693151	3
3	2	tanh	0.23	0.499018	37
3	3	iden	0.25	0.666293	8
3	3	logi	0.35	0.242617	1782
3	3	relu	0.4	0.418596	113
3	3	tanh	0.5	0.284399	295
3	4	iden	0.25	0.666295	6
3	4	logi	0.5	0.006326	5723
3	4	relu	0.44	0.301256	172
3	4	tanh	0.45	0.102142	559
3	5	iden	0.25	0.666297	6
3	5	logi	0.5	0.000967	328
3	5	relu	0.5	0.000752	121
3	5	tanh	0.5	0.000345	811
3	6	iden	0.25	0.666299	6
3	6	logi	0.5	0.000636	477
3	6	relu	0.5	0.076595	65
3	6	tanh	0.5	0.000204	71
3	7	iden	0.25	0.666299	6
3	7	logi	0.5	0.002871	1854
3	7	relu	0.5	0.000162	43
3	7	tanh	0.5	0.000298	73
3	8	iden	0.25	0.666301	7
3	8	logi	0.5	0.000871	172
3	8	relu	0.5	0.000315	55
3	8	tanh	0.5	0.0002	60
3	9	iden	0.25	0.666301	8
3	9	logi	0.5	0.000854	201
3	9	relu	0.5	0.000227	50
3	9	tanh	0.5	0.000169	64
3	10	iden	0.25	0.666302	7
3	10	logi	0.5	0.001377	348
3	10	relu	0.5	0.000122	39
3	10	tanh	0.5	0.00023	88
4	1	iden	0.25	0.666297	19
4	1	logi	0.22	0.693154	4
4	1	relu	0.5	0.69315	4
4	1	tanh	0.22	0.693145	6
4	2	iden	0.25	0.666293	14
4	2	logi	0.21	0.693148	2
4	2	relu	0	0.693152	3
4	2	tanh	0.33	0.358162	1798
4	3	iden	0.25	0.666296	11
4	3	logi	0.5	0.384943	2861
4	3	relu	0.5	0.278493	118
4	3	tanh	0.5	0.338484	2118
4	4	iden	0.25	0.666298	8
4	4	logi	0.5	0.693153	2
4	4	relu	0.5	0.366709	130
4	4	tanh	0.5	0.340067	325
4	5	iden	0.25	0.666301	7
4	5	logi	0.25	0.693188	2
4	5	relu	0.5	0.204778	78
4	5	tanh	0.26	0.339859	105
4	6	iden	0.25	0.666302	6
4	6	logi	0.21	0.693131	3
4	6	relu	0.5	0.000232	105
4	6	tanh	0.5	0.000201	127
4	7	iden	0.25	0.666303	7
4	7	logi	0.5	0.000664	420
4	7	relu	0.5	0.000083	53
4	7	tanh	0.5	0.000192	77
4	8	iden	0.25	0.666306	7
4	8	logi	0.31	0.693178	2
4	8	relu	0.5	0.000163	98
4	8	tanh	0.5	0.000172	49
4	9	iden	0.25	0.666308	7
4	9	logi	0.33	0.693167	3
4	9	relu	0.5	0.000168	75
4	9	tanh	0.5	0.000471	151
4	10	iden	0.25	0.666308	7
4	10	logi	0.23	0.69315	2
4	10	relu	0.5	0.000107	45
4	10	tanh	0.5	0.000286	62
5	1	iden	0.25	0.6663	33
5	1	logi	0	0.693149	3
5	1	relu	0.5	0.69315	6
5	1	tanh	0.18	0.693152	5
5	2	iden	0.25	0.666296	16
5	2	logi	0.5	0.693149	2
5	2	relu	0	0.693153	3
5	2	tanh	0.5	0.53231	416
5	3	iden	0.25	0.666296	9
5	3	logi	0.24	0.693164	2
5	3	relu	0.38	0.427076	107
5	3	tanh	0.5	0.000148	626
5	4	iden	0.25	0.666299	8
5	4	logi	0.32	0.693155	2
5	4	relu	0.42	0.526209	177
5	4	tanh	0.49	0.416915	1108
5	5	iden	0.25	0.666303	6
5	5	logi	0.06	0.693154	2
5	5	relu	0.5	0.35133	105
5	5	tanh	0.28	0.365418	380
5	6	iden	0.25	0.666305	7
5	6	logi	0.5	0.693144	2
5	6	relu	0.5	0.000227	110
5	6	tanh	0.5	0.000114	69
5	7	iden	0.25	0.666307	8
5	7	logi	0.2	0.69315	3
5	7	relu	0.5	0.026564	118
5	7	tanh	0.5	0.000122	84
5	8	iden	0.25	0.66631	7
5	8	logi	0.5	0.693159	2
5	8	relu	0.5	0.000207	84
5	8	tanh	0.5	0.000244	138
5	9	iden	0.25	0.666312	7
5	9	logi	0.35	0.693158	2
5	9	relu	0.5	0.000083	73
5	9	tanh	0.5	0.000123	60
5	10	iden	0.25	0.666313	8
5	10	logi	0.5	0.69316	2
5	10	relu	0.5	0.000149	94
5	10	tanh	0.5	0.000135	62
